3	0.01
4	0.013
5	0.012
6	0.01
7	0.003
8	0.012
9	0.023
10	0.024
11	0.012
12	0.013
13	0.037
14	0.031
15	0.032
16	0.032
17	0.046
18	0.013
19	0.021
20	0.01
21	0.052
22	0.102
23	0.068
24	0.005
