0.2	0.00
1.2	0.16
2.2	1.65
4	0.49
5.4	0.81
6.4	1.27
7.5	2.21
8.4	1.09
9.5	2.52
10.4	2.54
11.5	2.55
12.4	3.28
13.4	4.60
14.3	3.78
15.5	3.08
16.3	3.31
17.4	3.56
18.3	3.57
19.2	3.99
20.1	4.20
21.1	4.31
22.1	4.00
23	3.98
24.1	4.94
